,episodes,commentid,content
415,第一期上,6717763171467634469, 赵薇好美赵薇最美
416,第一期上,6717763269026132599,哈哈哈赵薇
417,第一期上,6717763372760368270, 不是八点吗
418,第一期上,6717763573164213747, 来看陈宥维啦
419,第一期上,6717763800142460521, 程程加油！
420,第一期上,6717763952496359318, 我还乖乖等八点！！ 丁程鑫宝贝我来啦
421,第一期上,6717764796886227053,爆米花来了
422,第一期上,6717761224827236706,爆米花 : 开朗开朗开朗
423,第一期上,6717760872090468082, 不准时哈哈哈哈哈哈
424,第一期上,6717761899473340939, 周周来了来了
425,第一期上,6717762197759659025,爆米花 : 潇潇我来了
426,第一期上,6717762233092740612,爆米花 : 时长我爱了，还分上下期哈哈哈[鹅斯卡][圈粉]
427,第一期上,6717762815966779949,爆米花 : 我来啦
428,第一期上,6717762638795219760, 来啦
429,第一期上,6717763031855727123,10.2田小仙🧚‍♀️
430,第一期上,6717763230393411472, 赵薇导演
431,第一期上,6717763296780819854, 来了
432,第一期上,6717763583830597550,王楚然王楚然王楚然王楚然王楚然王楚然王楚然王楚然
433,第一期上,6717764480052742745, 爆米花
434,第一期上,6717765076998357343,爆米花 : 张逸杰加油
435,第一期上,6717765240027028433, 哈哈哈哈哈哈
436,第一期上,6717765572919571563, 期待
437,第一期上,6717765589571936092, 来看赵薇导演
438,第一期上,6717765680147973339, 为赵薇而来
439,第一期上,6717765871714420475, 期待导演赵薇
440,第一期上,6717766133328919243, 赵薇好美赵薇最美
441,第一期上,6717766423880956679,楚然楚然
442,第一期上,6717766540083786892,来吧来吧大姐来了
443,第一期上,6717767170086343309, 丁哥我来看你了！！！
444,第一期上,6717768297992093266,  [敲黑板]希望能好看
445,第一期上,6717768698788553921, 程程姐姐来啦
446,第一期上,6717769090838545764, 希希我来啦
447,第一期上,6717769266805372264,刷着预告，正片就来了😍
448,第一期上,6717767973349819955, 为薇而来
449,第一期上,6717770783364674305, 爆米花
450,第一期上,6717770776477989828,哈哈哈赵薇
451,第一期上,6717771869090980541,观影团 : 我来啦我来啦
452,第一期上,6717779289016046838,不
453,第一期上,6717780919462329866,来看郭导
454,第一期上,6717781575501804684, 刚好看到，惊喜欲狂啊😊，薇姐薇姐
455,第一期上,6717785205488731512,不能给胡杏儿换身好看点的衣服嘛～
456,第一期上,6717787292557617199, 丁哥冲冲冲
457,第一期上,6717789933218758342,  张逸杰加油
458,第一期上,6717795034013833172, 喜欢赵薇
459,第一期上,6717945965425734531,为杨志刚而来
460,第一期上,6717972755436252892,时长有点意思
461,第一期上,6717982017188296741, 唯品会和鹅深度合作呀
462,第一期上,6717761225977473335,爆米花 : 太早还没人来19：45
463,第一期上,6717760673159827306, 更的好快
464,第一期上,6717761980067196554, 喜欢鹅的不准时
465,第一期上,6717762526093971035,赵薇导演😘
466,第一期上,6717762867216980624,爆米花 : 好早
467,第一期上,6717762753257776137,陈宥维加油 多学习多进步
468,第一期上,6717763502452746657,爆米花 : 十八岁的天空是童年回忆错爱一生是童年阴影
469,第一期上,6717763643862350318,期待王楚然
470,第一期上,6717764327950495596,终于开播啦，期待赵薇导演
471,第一期上,6717764558414913817, 小丁小丁小丁小丁小丁
472,第一期上,6717765234037562303,芒果台口播？
473,第一期上,6717765252814140828, 来了来了！
474,第一期上,6717765669578320558,终于来了
475,第一期上,6717766214644864571,又是熟悉的导演真好
476,第一期上,6717767424809647210, 来了来了
477,第一期上,6717767500245224663, 来了，来了！
478,第一期上,6717768671273884123,陈宥维陈宥维陈宥维陈宥维，加油加油🍊
479,第一期上,6717769152808383397, 何昶希何昶希
480,第一期上,6717769269867907488, 丁程鑫加油
481,第一期上,6717778025473578764, 来看赵薇导演
482,第一期上,6717783595101484928, 来看程程啦
483,第一期上,6717783843999510732, 期待丁的表演
484,第一期上,6717793447525413058, 准备好瓜子等赵薇
485,第一期上,6717803720459361806, 娄艺潇娄艺潇娄艺潇
486,第一期上,6717820594643474956, 程鑫宝贝冲啊
487,第一期上,6717966337932990232, 来看马老师和摇的宝贝了
488,第一期上,6717968332915941010,第三季了
489,第一期上,6717970247447979102, uv
490,第一期上,6717977069034606664,哈哈哈赵薇
491,第一期上,6717986668281346699, 为薇而来
492,第一期上,6717987806981063866, 李溪芮我来啦
493,第一期上,6717999135653830499,爆米花 : 来了来了！
494,第一期上,6718003194158885406, 拔丝而来
495,第一期上,6718035305673815656, 为什么有张大大
496,第一期上,6718065683855867538, [圈粉][敲黑板][鹅斯卡]。
497,第一期上,6718134977689005182, 我是来看拉丝的[敲黑板]
498,第一期上,6718401568854015635,来看尔导
499,第一期上,6718408245314525610,  摸摸你
500,第一期上,6718774321349073746,楚然楚然
501,第一期上,6718527954525594085, 何昶希
502,第一期上,6717762595837168861,赵薇😍
503,第一期上,6717763143825815140,爆米花 : 任敏，加油(ง •̀_•́)ง
504,第一期上,6717763891205968355,爆米花 : 好期待呀
505,第一期上,6717765068178050741,爆米花 : 来啦
506,第一期上,6717765497107542084,陈宥维
507,第一期上,6717765484886033695, 我等到八点，白等了，不过我喜欢。
