ids,times,stars,previews,likes
青春留下的散文,2020-11-03 09:27:33,10,缺德的节目组，为了热度，不择手段,4,
小A,2020-11-04 14:33:51,10,李诚儒退出了！陈凯歌有点儿阴狠，没有大家风范,5,
Norn,2020-10-25 03:02:48,10,《误杀》四位导演尬吹+狂怼李诚儒真的是恶心到了，节目组也是不把演员当人啊，让唐一菲演艾莉真的是服了，还好人家退赛了退得好我觉得，这部综艺我弃了大家随意两分给一些演员的努力和李诚儒的认真点评，（何昶希是哪里来的脸拿S啊）其他的没有要评的了,4,
飂,2020-11-04 20:20:04,10,这颗星是因为李老师，否则就是零,4,
林怡兴,2020-11-11 01:05:27,10,小矮子技术不行嘴巴挺溜，小凯子技术不行嘴巴更溜。,4,
空阒,2020-10-11 17:17:38,20,郭敬明不如开个综艺选后宫好吗把李诚儒换上来不好吗,4,
🦓粉丟丟,2020-11-14 23:10:47,20,弃了弃了，最多看施柏宇cut。太做作了。。。,2,
蒲末释,2020-11-02 01:03:32,10,应该叫《演员请离场》。,4,
没看我忙着呐,2020-10-16 22:51:31,20,如果只能踹一脚的话，是先踹郭敬明还是大鹏，真的很难选,4,
叶知秋,2020-11-17 19:22:15,20,郭敬明和这节目完全就是互相成就，你要流量，我要洗白，一拍即合。为综艺效果加一星，吃瓜群众就是这么无聊。,1,
Yxxom,2020-10-04 23:29:23,40,看这个节目只想看尔冬升怼人hhhh一针见血,2,
缄默,2020-10-11 01:30:12,10,郭敬明的指导水平和作品质量也能和其他几个评委坐在一起？就冲这点这也是一个一般至极的节目。,7,
山楂锅盔,2020-11-04 17:47:45,20,完全感受不到对演员行业和竞技规则的尊重,4,
杂粮粥,2020-10-25 03:06:28,30,导演能别互相尬吹了嘛？这一期没一个看得进去的片段,3,
豆瓣屿安年,2020-11-02 22:43:20,10,可怕的是看完最新一期我觉得陈凯歌和郭敬明是一路人,6,
沛沛,2020-10-03 07:54:07,40,比起B级演员的逆袭，更想看S级演员的打脸,6,
[已注销],2020-11-19 11:04:47,10,看了几期发现自己跟导师对“演技好”的看法经常不一样。后来看了各种解说才明白这节目哪是在看“演技”，是在玩“人情世故”呢。台下的戏比台上精彩👏👏👏,4,
衷爱小冯仙女,2020-11-04 09:23:27,10,辣鸡。劣币驱逐良币，陈宥维跟个zz一样也能连续晋级，呵呵,5,
migrantsss,2020-10-16 23:44:20,10,郭敬明还以导演的身份参加节目就说明了节目组对资本的无下限跪舔,3,
mine8860,2020-10-09 08:27:54,20,四个导演三个不说话并不是他们并不是他们不知道，而是不愿意得罪人，坏人让尔冬升来做。节目组靠消费尔冬升出圈，像极了演员的诞生的章子怡，但章子怡马上就明白了。希望尔冬升也马上明白吧,4,
昂昂,2020-11-15 01:42:08,10,听说郭敬明的片子代表了市场？？？？那这个“市场”真是病入膏肓……,4,
焦糖树,2020-10-05 20:25:28,40,尔冬升导演好可爱，讲戏的时候严厉认真，私下又很温柔，给张大大签了名还画了颗心的举动戳到我了～,5,
Vi,2020-11-15 09:24:22,10,郭敬明真的恶心到姥姥家了，他这种人的如鱼得水其实挺反应业界生态的，就是这么明目张胆地告诉你不公平，你服不服,3,
花椒面,2020-11-17 20:10:59,10,何昶希这种都能一路说自己配不上一路拿s卡你们就知道这档节目有多么可笑了,3,
夏雨天,2020-10-17 00:40:29,10,因为郭敬明，所以弃剧了。前面还说“如果我要拍片，我不会选他（何昶希）。”一会儿又说“我要和他（何昶希）合作。”前后说话就是自相矛盾。矛盾的地方太多了，一开始尔冬升导演要发S卡给演技不好但想培养的人，郭敬明的意思是S代表了我们（4位导演）的标准，但到了自己发卡的时候，就啪啪啪打脸了。只想说，郭敬明的发卡真的对别的优秀的演员很不公平！希望节目组能考虑下选择导演的标准，一个靠资本加持获得票房的导演，为什么可以坐在这里呢？！,4,
思潮,2020-11-07 23:17:38,10,容不得真话的垃圾综艺，同时让我们看到国产电影为何如此烂的根源！,5,
拉米米,2020-11-15 03:03:18,30,看了画皮，郭敬明拍戏就像工笔画，故事线都为审美让位，像是为了画面拍电影的。当然会有各种诸如立意不高逻辑不畅拍啥都像幻城的局限。但是想想又觉得，活在他的美丽世界里应该不错哈哈哈哈。几位小爱豆，演的痕迹还是重，道阻且长啊！,1,
Wordsworth,2020-11-15 00:05:16,10,可以打负分的综艺恶心人的司马玩意一群人舔着陈凯歌我怎么会花时间看这种东西吐了,4,
奇爱学士,2020-10-12 18:46:25,20,看郭敬明在线找对象和挨骂挺开心的,5,
丿游园惊梦灬,2020-11-10 22:02:26,10,公然喂💩。打五分的应该很爱吃这一口,4,
菲比阿曼达,2020-10-31 18:37:30,30,越来越收窄的节目初衷,1,
泠河🌊🌈,2020-11-16 20:26:15,30,黄奕真的是个蛮可惜的演员。曾经多么辉煌，资源超好。上错花轿/女驸马/卧虎藏龙/还珠格格/风云雄霸天下，和小田切让合作的电影也还行。影坛萧亚轩了可以说。,0,
Luu,2020-10-25 12:35:32,20,节目组骚操作满点，回家的诱惑实在恶心人，多一颗星给李诚儒老师，已弃,6,
陌starry,2020-11-16 00:23:57,20,真实地展示了导演失去审美和演员失去信念是多么可怕的事情。,5,
不是你的喵,2020-11-15 03:13:08,30,失望！！第一季我是给全5星的！！！,1,
7%,2020-11-26 03:35:46,10,夸陈凯歌在这个节目上表现的，麻烦有钱一起赚，谢谢,3,
百年树袋熊,2020-11-15 13:24:13,10,好傻，好假，拍个跟屎一样的东西，却美其名为及格，艺术创作，好就是好，不好就是不好，没有及格之说，听了及格还长舒一口气，抱着拍及格的态度拍电影，观众可能只能得到零，李诚儒老师不在就没人说真话了，没有任何意思。,6,
guai shou,2020-11-10 19:40:50,10,啊，这…不会吧，不会吧，现在居然还有6分…,3,
秦明法医,2020-11-23 19:34:52,10,李成儒逃跑是对的，辣鸡节目不配。,3,
萧平旌,2020-11-14 23:19:24,20,被性转画皮恶心到不行，闭眼夸，傻X吧！,4,
诗与旅人,2020-11-15 17:36:21,10,这还不到十期就开始尬吹了，没有人再说真话，一个个才20多岁就被称为老师，无话可说,2,
xiao棒,2020-11-05 16:45:03,10,又是一个资本的节目。垃圾,5,
。。。,2020-11-18 13:23:06,20,想捧谁都摆在明面上了,4,
心有所喜,2020-11-07 23:40:15,10,就冲着隔三差五的吹捧分析小时代，这个节目就没有看下去的必要了。这就是秀，这就是內娱崩坏现场。,3,
隐居着,2020-11-03 16:25:52,10,选那些演技辣鸡玩意还大道理一通通,5,
不爱吃肉,2020-11-21 23:30:45,20,这个节目真的太无耻了，完全就是一场资本和导演个人取向的游戏。几个导演都不同程度的有些令人咋舌的地方。今天这期陈凯歌非常令人惊讶，为了给自己的戏铺路狂骂另一个撞型的戏。人物转变没有动机？结果自己的原创剧本这个问题更明显，且台词毫无力度，休息一下吧再搞就晚节不保了。,5,
凛冬,2020-10-18 10:17:13,10,演员请就位×后宫请就位✓,3,
cathineer,2020-11-01 07:59:05,10,什么演技高低，就是资本的游戏。当毫无任何基本功的他说出“为了这个节目的准备就是每天给自己加油打气”的时候，我就该放弃这个节目了。越吐槽越是给别人送kpi，就放弃了，难受得令人想吐,4,
安灵广殇,2020-10-25 02:42:10,10,垃圾,4,
zz,2020-11-15 01:16:46,10,别再有下一季了,3,
蓝抑郁剂 Lily,2020-11-22 18:52:12,10,又名“爱豆请就位”，爱的鼓励S卡,0,
小兔根,2020-10-27 19:43:24,10,心疼成儒老师。看陈凯歌就知道中国电影没救了,6,
Apollonia,2020-11-12 13:23:04,20,公费恶心人，yue，多一星给已经离开的李成儒,3,
梅岭藏殊梅长苏,2020-11-10 15:29:17,10,什么垃圾节目，真恶心,1,
月宇,2020-11-18 04:10:40,20,作品不怎么样就是制作低级drama。就是包装高端的新老娘舅,1,
野蒜,2020-10-10 23:36:44,30,演员请就位第一季找金靖第二季找辣目洋子第三季没道理不找张可吧！求求郭敬明不要再说情理之中意料之外这句话了。幕后美术比较牛逼，搭的景都好真。,0,
长于春梦几多时,2020-10-11 18:37:57,30,整体来说还可以，只是郭敬明的间断性失常让人很无奈，大鹏作为主持人表现欲是不是有点太强,3,
甜,2020-10-28 15:48:49,30,李诚儒太惨了,2,
花渡紫陌,2020-11-22 15:21:23,20,万万没想到，今年最好的《花木兰》竟然是在一个综艺上拍的，竟然是大鹏拍的，竟然是花了两天时间拍的。,3,
山寺桃花,2020-11-15 21:11:48,10,就第一集能看,2,
芳心纵火犯,2020-11-07 23:36:44,10,节目组总是搞噱头炒作感觉是个选男团的节目乌烟瘴气,4,
小泽,2020-10-11 10:11:15,40,郭敬明你可闭嘴吧，瞎给S卡，看着就讨厌,3,
wcm960723,2020-10-13 21:10:34,20,两分我给李诚儒老师。一分扣在郭敬明，一分扣在大鹏，一分扣在张大大。,7,
大狼,2020-10-26 01:38:08,20,误杀结束后演员和导演捧臭脚的那段真把人看恶心了,6,
李芃,2020-11-01 10:43:03,10,真是看清陈凯歌这个人，心胸狭窄，诡辩能力也极强。大鹏也滚吧。跟陈凯歌一比郭敬明反倒没那么讨厌了,6,
Lunar C.,2020-10-03 00:56:00,30,EP01观感不错，就是分级试图把演员数字化和标准化，但是这个数字化的过程不科学。张大大挺典型的斯德哥尔摩症状出现了，根本上在于没有学会放下和受不了他人的批评。三生那个片段男演员豁达的回话超出对他的刻板印象，少年片段男女演员可能会成为一生的朋友，也可能会变成一段孽缘？总之幕后的故事，人和人之间的化学反应，挺精彩的，甚至精彩过了演技本身。,0,
超搞笑级的？？,2020-10-17 22:15:20,20,老派综艺，现在的综艺节目都是一副“爱与和平“的画风，即使是之前的有嘻哈，还会包装一个“diss”文化来掩盖其放任撕逼的现实，就这个节目，真的明着告诉观众“什么专业，什么产业，我们就要靠撕逼和恶心你上热搜”，你看那些真的演得好的人有谁记住吗？没有，你只记得郭敬明和他的后宫，你只记得口罩小偷张大大，你只记得看碟下菜的大鹏。我还想对郭敬明说:那些好好演戏的人你叫的上名字吗？你只在乎你自己,1,
大熊,2020-10-12 09:45:31,20,从演员阵容来说，这一季明显不如上一季，拉来那么多爱豆感觉像凑人数。第一期的市场评级标准也很矛盾，看着是谁当下比较火就谁去S，但是娄艺潇除了《爱情公寓》再无其他作品，依然占了一个S席位，更诡异的是杨志刚和温峥嵘，都是戏红人不红，也都有代表作品和角色，为何一个在S一个在B。本季最大的亮点是尔冬升，真的太敢说了，全是实话。郭敬明看着话题被抢去，赶紧作妖，不知道他是不是完全不懂演戏，但真的确定他是个骨子里自卑的人。本来何昶希作为没有经验的新人，大家还是包容他不会演戏，郭的操作放大了他的表演。让他招黑。大鹏这主持也不太行，太拘谨了，也没有表现出幽默感，更是公开战队平息争议。不合格。,4,
阿花花的sp,2020-10-03 23:48:48,30,作为综艺，有话题有冲突，剪辑暂且不骚，但选择的比赛作品有的有点鸡肋，同类型作品重复；赛制虽然有点意思，但希望后面不要成为节目谈资的牺牲品。尔冬升或成本季最大赢家。李诚儒依旧毒舌，但是言简意赅恰到好处，只针对业务能力，不做无谓人身攻击，好评。至于评级割裂感可以理解，又要演技又有市场的基本上都在各影节终身成就奖那一圈了吧。,3,
窦腐乳,2020-11-15 20:04:29,20,灾难，最后一次看了，看这种毫无营养的东西简直是浪费时间。,2,
Ruby酱,2020-11-14 23:51:50,20,明明是选演员，结果都是为了看导演们吵架。小四学诡辩/偷换概念还是玩得溜；越来越讨厌陈凯歌，双标、明嘲暗讽、言行不一，演员尬演，他非硬夸，看得反胃；赵薇反矫达人相当圈粉；大鹏这个垃圾主持，是主持界的绿茶婊；日常心疼李诚儒老师，最认真最诚恳却被逼到退出。弃综了！,3,
mu ma～,2020-10-16 23:35:13,40,看之前我告诉自己尊重每一个人发言的权利直到我看到了小丑在台上台下手握权力的评委可以凭自己的喜好随意去发出一个大家拼尽全力想要的S郭敬明你可闭嘴吧你的存在只是在证明如今资本才是王道而不是存在即合理但是节目无错,2,
woody,2020-11-15 03:18:17,20,从一开始的全部看，到后来的跳过表演直接看点评，到现在导演之前互相敷衍的点评也开始跳了。郭敬明真是制造热点的小能手，挺好奇晴雅集之后能不能咸鱼真翻身,1,
磨洋工了吗？,2020-11-02 15:04:32,20,对陈凯歌好失望，他的浪漫主义是用错了地方吗。比如误杀里的两位母亲永远不可能和解，雍正也永远不可能是什么痴情男子。跳着看完上周那期之后，感觉这节目已经乏力无亮点了，毕竟没有人会和钱与面子过不去嘛。,5,
快乐吃瓜群众,2020-10-03 00:31:29,50,从综艺角度，尔冬升导演太厉害了，哈哈哈哈。一开始演员分级也很精彩，就是演员本身差太多。司命好惨为啥是B级，哈哈哈,6,
满岛光粒子,2020-10-04 20:47:16,40,也太好看了吧！看完第一期的下集预告简直希望12期连播😂,1,
浩子菌,2020-10-17 15:24:56,10,本季最大的也是唯一的亮点就是尔冬升导演了，毕竟是港片辉煌时期的代表人物，点评一针见血指导更是身体力行的实在，很让人信赖。最惨就是李诚儒了，被所谓的主持和所谓的导演各种内涵和当刀子使。本季最恶心就是陈凯歌和大鹏了，太各种损招各种踩地捧高的。,1,
放荡土豆,2020-11-24 02:08:13,10,看到郭拍出一部又一部翔大家还得尬捧尬吹的时候，感叹的是现在的电影市场好这口的人竟还不少？！,4,
梅土豆,2020-10-02 23:45:33,30,演员的表演味同嚼蜡，部分原因是演技本身，另一方面是节目本身的缺陷，从剧本到排练再到呈现整个流程，也就陈凯歌和尔冬升的点评值得一看,8,
90,2020-10-10 11:18:34,30,尔冬升毒舌很有看点，恶作剧之吻拉丝让人印象深刻，郭敬明作妖成为看点，越是往后看越觉得其实说得再好，不选你也没用，这个评价真的很见仁见智,0,
坂口健大郎,2020-10-10 22:49:56,20,太尴尬了……应该不会看下去。首先这种节目的形式就不适合考察影视表演，连他们自己都说了，没有镜头就很生硬；本子选得也难说，的确好的本子是稀有的，但在这样的节目里不应该拿真的好本子去给演员演吗，本来就讲不通的情节人物，难为用演技去说服人……至于几个导演的争论，点都不一样，凑一起瞎掰，这节目组赶紧散了吧……/嗐，本质就是捧那几个流量嘛,2,
塔格利安完蛋了,2020-10-04 05:07:20,40,每次尔冬升都在说实话，怎么，娱乐圈听不懂吗，我看大家在装不懂上的演技天赋都很高呢。郭敬明那个眼睛瞳孔地震得跟东非大裂谷一样开，怎么，在座的大导演都是挑人，就你郭敬明宛若犀牛观光动物园吗？坐在这个位置上，先问自己配不配吧，想拿着超级斩的话筒对这个所谓的导演唱呕呕呕。希望尔冬升继续保持，我会为尔冬升之实话而看完，四星都给他说实话。,6,
blb,2020-10-03 22:41:05,30,男神尔冬升能来，真是难得了……剪接还是希望精简点，现在一场综艺看下来真是体力活儿呀,4,
卷卷,2020-10-04 02:10:50,30,马苏演的哪好了？任敏哪像周迅，明明像李小璐,5,
大脸猫,2020-10-30 08:28:07,30,台上的戏不怎么样，台下的戏是真的多。,2,
周星星那个梅西,2020-11-03 06:13:52,10,资本请就位！陈郁维能进陈凯歌护犊子还能理解。王锵演的那卧底明显最差，要不要这么明显,4,
一条英俊的魚,2020-10-12 22:49:33,30,对郭敬明，大鹏无语,4,
