ids,times,stars,previews,likes
大理石少卿,2020-11-01 00:59:53,10,一个个说的都很好。但是，说一套做一套，这就是虚伪！或许这就是节目的初衷，告诉大家娱乐圈就是这样的虚伪。另陈凯歌导演，您说的最好，您也最虚伪。心眼也太小了吧，自以为是的巨婴。,14,
今天吃火药了吗,2020-10-11 02:39:21,40,这季真的很敢说啊，尔冬升导演直率又可爱，越来越喜欢李成儒老师了。但是对郭敬明也是慢慢无语了，他的一张s卡不仅不尊重其他演员，还让拿到的演员难堪。还有董成鹏的站队式主持，和他当年诬陷大张伟一样，让人反感。,18,
谢耳朵是萌兽,2020-10-02 22:49:15,30,一个综艺一旦第一季稍微出了点名堂第二季就会出现一票这也不行那也不行的爱豆无语,32,
亦可赛艇,2020-10-26 18:18:03,10,太几把傻逼了，误杀演成这逼样能被互夸，李诚儒老师待这儿受着气干嘛？,16,
哪吒男,2020-10-24 22:45:49,30,我们的电影是被演员们搞坏的吗是那些在任何领域掌握资源就对电影指指点点颠倒黑白翻云覆雨的人做的恶啊郭敬明就是这些恶的喻体我们的电影就是《无极》里的倾城看似拥有世间一切唯独没有真正的爱仅有的爱来自我们这些昆仑奴,13,
管⁢⁢理⁢员,2020-10-11 15:36:56,10,郭敬明坐在导演席立诡辩点评是演艺圈的耻辱郭敬明给出的s卡告诉观众血淋淋的现实烂片存在即合理当小人坐上有影响力有话语权的位置开始翻手为云覆手为雨给观众喂屎也明白节目组在想什么的一切都是为了热度,16,
苏克不是糖,2020-10-25 22:21:37,10,本来以为尔冬升是四个导演里面唯一敢说真话的，《误杀》之后才发现，原来台上四个导演才是抱团的，演员演技差可以讲，真要说到片段导演的时候就不行了呗。心疼李诚儒，踩上这根红线，被四个导演集火喷成了筛子。这个节目完美诠释了，坐着选人的四个导演才是真正的影帝，只要互相捧，谁都有个光明的未来。,20,
老逃避现实选手,2020-10-10 21:45:22,20,真特么难看啊。为什么总是演一些质量本来就差的国产剧？为什么总是请一些乱七八糟的选手？张大大真引起不适。能不能不要请郭敬明了？再怎么喜欢陈凯歌尔冬升赵薇都救不了。,31,
吾爱李太白,2020-10-15 17:38:45,10,郭敬明乱给s卡可真给我气笑了，还有那大鹏第一次见主持人站队的呕呕呕,13,
深夜的阿斯伯格,2020-10-04 22:46:30,40,尔冬升现在越看越像黄维德。坐等下期李诚儒手撕郭敬明（没有恶意，很喜欢郭导）真不明白赵薇怎么一点五部电影就导师了，难道是因为演技好吗，真的是没什么料。这次完全被任敏圈粉了（这么看来的话赵薇的作品竟然是最好的，艺术可以改造人的灵魂）,16,
